color,type,branch,model,brake
silver,scooter,honda,ariBlade,diaduc,No
black,scooter,honda,vision,diaduc,Yes
silver,number,yamaha,vision,diaduc,No
black,scooter,yamaha,vision,diaduc,No
black,number,yamaha,ariBlade,diaduc,Yes
silver,number,honda,ariBlade,diaduc,Yes
silver,scooter,honda,vision,diaduc,Yes
black,number,yamaha,vision,diaduc,No
black,scooter,yamaha,ariBlade,diaduc,No
silver,number,honda,vision,diaduc,No
red,number,honda,blade,diaduc,Yes
black,number,yamaha,ariBlade,diananhoa,No
silver,number,honda,ariBlade,diananhoa,Yes
silver,scooter,honda,vision,diananhoa,No
black,number,yamaha,vision,diananhoa,No
black,scooter,yamaha,ariBlade,diananhoa,Yes
red,number,honda,blade,conanhoa,No
red,number,honda,ware,conanhoa,Yes
silver,number,honda,ware,diananhoa,Yes
silver,scooter,honda,ware,diananhoa,Yes
black,number,yamaha,ware,diananhoa,No
black,scooter,yamaha,ware,diananhoa,No
silver,scooter,honda,blade,diaduc,Yes
black,number,yamaha,blade,diananhoa,No
red,scooter,yamaha,blade,conanhoa,No
